,Store,Department,RMSE,Actual Average Weekly Sales,Accuracy
0,1,1,1168.5060311226518,18644.89736842105,0.9373283741909056
1,1,2,1736.4125477353425,45990.563157894736,0.9622441555722226
2,1,3,7753.059849969718,19128.514736842102,0.5946857371504601
3,1,4,1700.445523776669,37790.960526315794,0.9550039083395998
4,1,5,4790.946236053577,20281.680000000004,0.7637796160843886
5,1,6,1330.7077150760497,3212.7894736842104,0.5858092396106851
6,1,7,4254.652375851686,19582.006842105264,0.7827264380940095
7,1,8,1746.3480476070488,37919.43052631578,0.9539458261010777
8,1,9,3067.922023234631,31234.199999999997,0.9017768336235719
9,1,10,2840.7020377559843,30496.570000000003,0.906851752910049
10,1,11,4373.1132973566555,24580.78631578947,0.8220922129513983
11,1,12,1303.5257637437305,10788.99,0.8791800007467121
12,1,13,1922.437761441675,40449.29263157895,0.9524728954112582
13,1,14,2388.9891735837514,13107.70894736842,0.8177416676570791
14,1,16,5142.463780698419,20755.10842105263,0.7522314180983878
15,1,17,1058.1499224811835,7986.399999999999,0.8675060199237223
16,1,18,1862.6892572553456,4406.016666666666,0.5772396252271677
17,1,19,245.80795752843372,1128.512105263158,0.7821840311840397
18,1,20,570.8132605313617,4077.0915789473693,0.8599949867501541
19,1,21,633.7501021772113,7169.005789473685,0.9115986064472493
20,1,22,1204.1551862074564,6983.184210526316,0.8275635942136058
21,1,23,2220.771284195166,20166.222631578945,0.889876685149871
22,1,24,2898.6020657689382,7105.098947368421,0.5920391697229608
23,1,25,1154.838223213519,9368.295789473685,0.8767291032258923
24,1,26,1843.196257865428,6160.982631578948,0.7008275516931541
25,1,27,341.85609308238,1247.1405263157897,0.7258880728603487
26,1,28,97.27927925718859,418.4621052631579,0.7675314490041754
27,1,29,563.0962527778357,3787.1489473684205,0.8513139407497783
28,1,30,429.0717958507342,2807.2315789473687,0.847154827172604
29,1,31,1400.042406977341,2710.4389473684205,0.4834628507915113
30,1,32,1560.3373319179116,5931.9563157894745,0.7369607514194499
31,1,33,2510.8345468674597,6807.384210526317,0.6311601535601685
32,1,34,1006.7682440136235,10680.116842105263,0.9057343417775596
33,1,35,533.1436427699243,1910.3705263157894,0.7209213419984505
34,1,36,559.4882522470483,1197.9710526315787,0.5329701406239972
35,1,37,299.6810529989492,2765.1310526315788,0.8916213925145637
36,1,38,5868.554746835087,74654.83157894737,0.9213908246430226
37,1,40,2943.1012828250805,57512.92631578948,0.9488271338052732
38,1,41,319.5159154539156,915.506842105263,0.650995600732847
39,1,42,1012.732333146036,7846.538421052631,0.870932597433178
40,1,44,793.5940856129728,5299.476315789473,0.8502504703627967
41,1,45,17.830685416518634,23.034,0.22589713395334576
42,1,46,997.3904974626381,18328.876842105263,0.9455836543583825
43,1,47,246.3315337402279,105.66666666666667,-1.3312132530620935
44,1,48,645.6097898273514,1121.6105555555555,0.4243904119575904
45,1,49,1398.1401720760896,10496.53842105263,0.8667998804947089
46,1,51,error,10496.53842105263,error
47,1,52,433.5777444515644,1899.5715789473684,0.7717497201701513
48,1,54,36.028967979680296,33.638823529411766,-0.07105315226552822
49,1,55,1741.9519279889435,9418.141578947367,0.8150429239795273
50,1,56,515.6588109668502,1635.4263157894736,0.684694561908205
51,1,58,1880.419421577916,3821.998421052632,0.5080009946576529
52,1,59,141.0492135961198,176.84105263157895,0.20239553261439758
53,1,60,134.64918182912012,917.4631578947368,0.8532375053205474
54,1,67,901.4375911438742,6165.84894736842,0.8538015447931777
55,1,71,824.359656609148,2365.3047368421053,0.651478456974748
56,1,72,10546.535515500762,41655.578947368405,0.7468157739728872
57,1,74,1915.6962699155383,11477.82105263158,0.8330958235773926
58,1,77,error,11477.82105263158,error
59,1,78,error,11477.82105263158,error
60,1,79,4633.245646601503,34268.45684210527,0.8647956145807918
61,1,80,3361.61010655714,19556.685263157895,0.8281094131585811
62,1,81,1027.3555343797266,30901.277894736842,0.9667536230093996
63,1,82,1386.7597833484665,20005.185789473686,0.9306799847828381
64,1,83,776.087322312181,5973.503157894738,0.8700783607544454
65,1,85,600.5555537201055,2973.7600000000007,0.798048412205388
66,1,87,4007.2965500724404,52088.51999999999,0.9230675674779694
67,1,90,6805.080183855691,87864.76684210527,0.9225505236235981
68,1,91,3162.4414552946205,65908.46052631579,0.9520176707202571
69,1,92,6479.028935338046,141204.77157894737,0.9541160765115105
70,1,93,5133.617042840864,76528.19105263159,0.9329186150589883
71,1,94,4258.318965604171,62887.02631578949,0.9322862088561659
72,1,95,6236.771565787352,127946.08,0.951254688179682
73,1,96,3143.5865632896866,36629.3,0.9141783609490303
74,1,97,1998.009404460795,36945.25315789473,0.945919726252198
75,1,98,845.5484697843056,11618.783684210526,0.9272257326785959
76,1,99,332.10862997520496,60.79692307692308,-4.46258943984724
77,1,39,error,60.79692307692308,error
78,1,50,error,60.79692307692308,error
79,1,43,error,60.79692307692308,error
80,1,65,error,60.79692307692308,error
